problem,answer,explanation
신문지를 분리수거할 때 광고지를 제거해야 해요.,1,코팅이 입혀진 광고 전단지의 경우 재활용이 불가능하기 때문에 일반 쓰레기로 배출해야 해요.
유리컵은 유리병과 달리 일반 쓰레기에요.,1,유리컵은 유리병과는 다르게 분리수거 항목에 포함되지 않아요.
알루미늄 호일은 알루미늄으로 분리수거해요.,0,분리수거 가능 품목의 대부분은 재활용 체계가 구축된 용기 및 포장재에요.
페인트 통은 캔(철)류로 분리수거해요.,0,페인트 통은 유해물질을 담고 있어 분리수거 대상이 아니에요.
선풍기를 버리려면 폐기물 스티커를 사서 붙여야 해요.,0,"소형 폐가전(선풍기, 다리미, 밥솥 등)은 대부분의 지자체가 무료 수거를 하고 있어요."
양파껍질은 음식물 쓰레기에요.,0,"양파껍질, 파뿌리 등 채소 껍질과 뿌리는 일반 쓰레기로 배출해야 해요."
파뿌리는 일반 쓰레기에요.,1,"양파껍질, 파뿌리 등 채소 껍질과 뿌리는 일반 쓰레기로 배출해야 해요."
나무젓가락은 나무 재질이므로 종이류로 분리수거해야 한다.,0,나무젓가락은 일반 종이와 달리 재활용되지 않으므로 종량제 봉투에 버려주세요.
프링*스 통은 종이 박스니까 종이류로 분리해요.,0,"알루미늄, 종이가 붙어있어 재활용이 불가능해요."
"광고지, 과자 박스, A4용지는 모두 종이류로 분리수거할 수 있어요.",0,코팅된 광고지의 경우 재활용이 되지 않아 종이류가 아닌 일반 쓰레기로 버려야 해요.
남은 약은 음식물 쓰레기봉투가 아닌 일반 쓰레기봉투에 버려요.,0,남은 약을 그냥 버리면 환경 오염의 원인이 되기 때문에 꼭 약국의 폐의약품 수거함에 버려주세요.
다 쓴 핸드폰 배터리는 일반 쓰레기봉투에 버려요.,0,"배터리는 발열 위험이 있으므로 +,-극을 테이프로 막고 별도의 수거함에 버려야 해요."
된장은 음식물 쓰레기봉투에 버려요.,0,염분이 많아 동물 사료로 적절하지 않기 때문에 장류는 일반 쓰레기에요.
고추장은 일반 쓰레기에요.,1,염분이 많아 동물 사료로 적절하지 않기 때문에 장류는 일반 쓰레기에요.